DB00650	DB00987
DB00650	DB09110
DB00650	DB00451
DB00650	DB00445
DB00650	DB00316
DB00650	DB00787
DB00650	DB01001
DB00650	DB00381
DB00650	DB00945
DB00650	DB00335
DB00650	DB00482
DB00650	DB00537
DB00650	DB00531
DB00650	DB00091
DB00650	DB00443
DB00650	DB00829
DB00650	DB00773
DB00650	DB00927
DB00650	DB00813
DB00650	DB00950
DB00650	DB00196
DB00650	DB00472
DB00650	DB00158
DB00650	DB00695
DB00650	DB00999
DB00650	DB01181
DB00650	DB00448
DB00650	DB00722
DB00650	DB00836
DB00650	DB00186
DB00650	DB00563
DB00650	DB00295
DB00650	DB00338
DB00650	DB00904
DB00650	DB00433
DB00650	DB01069
DB00650	DB00863
DB00650	DB01104
DB00650	DB00512
DB00650	DB00425
DB00650	DB00541
DB00650	DB00351
DB00650	DB01101
DB01240	DB00203
DB01240	DB00421
DB01240	DB00559
DB01156	DB00783
DB01156	DB01225
DB01156	DB00451
DB01156	DB00279
DB01156	DB00627
DB01156	DB00316
DB01156	DB00787
DB01156	DB01001
DB01156	DB00630
DB01156	DB00404
DB01156	DB00277
DB01156	DB00321
DB01156	DB00381
DB01156	DB01060
DB01156	DB00945
DB01156	DB00335
DB01156	DB01076
DB01156	DB00207
DB01156	DB00181
DB01156	DB00542
DB01156	DB01222
DB01156	DB00887
DB01156	DB00490
DB01156	DB00661
DB01156	DB13919
DB01156	DB01197
DB01156	DB00564
DB01156	DB00395
DB01156	DB01136
DB01156	DB01327
DB01156	DB01212
DB01156	DB00482
DB01156	DB00567
DB01156	DB00341
DB01156	DB00537
DB01156	DB00215
DB01156	DB01190
DB01156	DB01068
DB01156	DB00575
DB01156	DB00758
DB01156	DB00115
DB01156	DB00924
DB01156	DB00443
DB01156	DB00829
DB01156	DB00586
DB01156	DB00861
DB01156	DB00390
DB01156	DB00343
DB01156	DB00313
DB01156	DB00843
DB01156	DB00590
DB01156	DB01142
DB01156	DB00584
DB01156	DB00199
DB01156	DB00927
DB01156	DB01039
DB01156	DB00813
DB01156	DB00950
DB01156	DB00196
DB01156	DB00472
DB01156	DB00176
DB01156	DB00158
DB01156	DB00492
DB01156	DB00695
DB01156	DB00996
DB01156	DB01241
DB01156	DB00222
DB01156	DB01067
DB01156	DB01016
DB01156	DB00874
DB01156	DB00502
DB01156	DB00999
DB01156	DB00741
DB01156	DB00327
DB01156	DB01611
DB01156	DB00557
DB01156	DB01050
DB01156	DB00281
DB01156	DB00332
DB01156	DB01029
DB01156	DB00883
DB01156	DB01026
DB01156	DB01009
DB01156	DB00465
DB01156	DB00448
DB01156	DB00654
DB01156	DB01097
DB01156	DB00722
DB01156	DB00836
DB01156	DB00455
DB01156	DB00186
DB01156	DB00678
DB01156	DB00227
DB01156	DB00454
DB01156	DB00331
DB01156	DB00423
DB01156	DB00563
DB01156	DB00422
DB01156	DB00959
DB01156	DB01233
DB01156	DB00524
DB01156	DB00264
DB01156	DB00916
DB01156	DB00370
DB01156	DB00745
DB01156	DB00295
DB01156	DB00218
DB01156	DB00461
DB01156	DB01203
DB01156	DB01149
DB01156	DB01115
DB01156	DB00727
DB01156	DB00585
DB01156	DB00540
DB01156	DB01137
DB01156	DB00334
DB01156	DB00338
DB01156	DB00904
DB01156	DB01083
DB01156	DB01173
DB01156	DB00991
DB01156	DB01062
DB01156	DB00497
DB01156	DB00213
DB01156	DB00715
DB01156	DB01085
DB01156	DB01132
DB01156	DB00413
DB01156	DB00175
DB01156	DB00635
DB01156	DB00433
DB01156	DB00396
DB01156	DB01069
DB01156	DB00571
DB01156	DB01224
DB01156	DB00881
DB01156	DB01129
DB01156	DB00481
DB01156	DB00178
DB01156	DB00863
DB01156	DB00811
DB01156	DB00734
DB01156	DB00953
DB01156	DB00533
DB01156	DB00938
DB01156	DB01104
DB01156	DB00203
DB01156	DB00884
DB01156	DB00421
DB01156	DB00605
DB01156	DB00669
DB01156	DB00675
DB01156	DB00231
DB01156	DB01162
DB01156	DB00624
DB01156	DB00906
DB01156	DB00697
DB01156	DB01036
DB01156	DB00273
DB01156	DB00193
DB01156	DB00656
DB01156	DB00620
DB01156	DB00897
DB01156	DB00376
DB01156	DB00577
DB01156	DB00177
DB01156	DB00512
DB01156	DB00285
DB01156	DB00962
DB01156	DB00425
DB01156	DB00603
DB01156	DB01020
DB01156	DB11750
DB01156	DB00776
DB01156	DB00214
DB01156	DB00641
DB01156	DB01211
DB01156	DB01238
DB01156	DB13867
DB01156	DB00399
DB01156	DB00580
DB01156	DB00764
DB01156	DB00967
DB01156	DB00230
DB01156	DB00275
DB01156	DB00973
DB00783	DB00451
DB00783	DB00279
DB00783	DB00316
DB00783	DB00787
DB00783	DB01001
DB00783	DB00630
DB00783	DB00404
DB00783	DB00321
DB00783	DB00381
DB00783	DB01060
DB00783	DB00945
DB00783	DB00335
DB00783	DB01076
DB00783	DB00993
DB00783	DB00207
DB00783	DB00181
DB00783	DB00542
DB00783	DB01222
DB00783	DB00490
DB00783	DB00661
DB00783	DB13919
DB00783	DB00564
DB00783	DB00395
DB00783	DB01136
DB00783	DB00482
DB00783	DB00567
DB00783	DB00341
DB00783	DB00537
DB00783	DB00215
DB00783	DB01068
DB00783	DB00575
DB00783	DB00758
DB00783	DB00115
DB00783	DB00924
DB00783	DB00443
DB00783	DB00829
DB00783	DB00586
DB00783	DB00390
DB00783	DB00343
DB00783	DB00313
DB00783	DB01142
DB00783	DB00584
DB00783	DB00426
DB00783	DB00927
DB00783	DB01039
DB00783	DB00813
DB00783	DB00950
DB00783	DB00196
DB00783	DB00472
DB00783	DB00158
DB00783	DB00492
DB00783	DB00695
DB00783	DB00996
DB00783	DB01241
DB00783	DB00222
DB00783	DB01067
